id,source,reward,A,seed,ts_dir
0,grid,R4_sparse,0.0,0,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R4_sparse/A00/seed_0/20260508_194241
1,grid,R4_sparse,0.0,1,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R4_sparse/A00/seed_1/20260508_194241
2,grid,R4_sparse,0.0,2,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R4_sparse/A00/seed_2/20260508_194241
3,grid,R4_sparse,0.0,3,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R4_sparse/A00/seed_3/20260508_230843
4,grid,R4_sparse,0.0,4,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R4_sparse/A00/seed_4/20260508_230843
5,grid,R4_sparse,0.5,0,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R4_sparse/A50/seed_0/20260508_194241
6,grid,R4_sparse,0.5,1,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R4_sparse/A50/seed_1/20260508_194241
7,grid,R4_sparse,0.5,2,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R4_sparse/A50/seed_2/20260508_194241
8,grid,R4_sparse,0.5,3,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R4_sparse/A50/seed_3/20260508_230833
9,grid,R4_sparse,0.5,4,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R4_sparse/A50/seed_4/20260508_230833
10,grid,R7_kitchen_sink,0.0,0,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R7_kitchen_sink/A00/seed_0/20260508_194241
11,grid,R7_kitchen_sink,0.0,1,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R7_kitchen_sink/A00/seed_1/20260508_194241
12,grid,R7_kitchen_sink,0.0,2,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R7_kitchen_sink/A00/seed_2/20260508_194241
13,grid,R7_kitchen_sink,0.0,3,/pfs/lustrep2/scratch/project_465002609/julian/AI-Plays-Tag/experiments/results/design_c/grid/R7_kitchen_sink/A00/seed_3/20260508_230833
